InstallateurPV,Référence,ARRIVAGE,N°Police,Date de payement,N°bon,TYPE CTR,REMARQUE DISTRICT,REMARQUE LABO,AVIS,DATE RECEPTION ARRIVAGE,DATE ENVOI ARRIVAGE,DISPATCHING CTR,DATE APP DOSS,DATE RECEP,DATE POSE,AVIS RECP
SYPHAX ENERGY,708418100,STEG1,,,,,,,OUI,,,,,,,
SOFTEN,719626730,STEG1,,,,,,,OUI,,,,,,,
SOLAR FM,701252000,STEG2,,,,MONO,,,OUI,,,,,,,
SUN2E,704368300,STEG2,,,,MONO,,,OUI,,,,,,,
SUN2E,725381200,STEG2,,,,MONO,,,OUI,,,1,,,,
UPV,704383643,STEG2,,,,MONO,,,OUI,,,1,,,,
UPV,704383751,STEG2,,,,MONO,,,OUI,,,1,,,,
UPV,716603780,STEG2,,,,MONO,,,OUI,,,1,,,,
UPV,707106510,STEG2,,,,MONO,,,OUI,,,1,,,,
UPV,725405790,STEG2,,,,MONO,,,OUI,,,1,,,,
UPV,713125050,STEG2,,,,MONO,,,OUI,,,1,,,,
UPV,725405800,STEG2,,,,MONO,,,OUI,,,1,,,,
BAYA,707937880,STEG2,,,,MONO,,,OUI,,,1,,,,
BAYA,712826301,STEG2,,,,MONO,,,OUI,,,1,,,,
AFF ETEINT,711706650,STEG2,,,,MONO,,,OUI,,,1,,,,
AFF ETEINT,715028300,STEG2,,,,MONO,,,OUI,,,1,,,,
AFF ETEINT,724744600,STEG2,,,,MONO,,,OUI,,,1,,,,
AFF ETEINT,713044200,STEG2,,,,MONO,,,OUI,,,1,,,,
AFF ETEINT,717367002,STEG2,,,,MONO,,,OUI,,,1,,,,
AFF ETEINT,713044300,STEG2,,,,TRI,,,OUI,,,1,,,,
THINKPOWER,704983951,STEG3,E6440400,2/1/2023,,MONO,,,OUI,,,1,,,,
THINKPOWER,708987310,STEG3,E6469021,4/13/2023,,MONO,,,OUI,,,1,,,,
THINKPOWER,709844510,STEG3,E6487124,6/2/2023,,MONO,,,OUI,,,1,,,,
THINKPOWER,704307170,STEG3,E6487128,6/2/2023,,MONO,,,OUI,,,1,,,,
SUNTECH SOLAR,704736701,STEG3,6473717,4/28/2023,,MONO,,,OUI,,,1,,,,
SUNTECH SOLAR,704736710,STEG3,6473695,4/28/2023,,MONO,,,OUI,,,1,,,,
SUNTECH SOLAR,727414900,STEG3,6473714,4/28/2023,,MONO,,,OUI,,,1,,,,
SUNTECH SOLAR,708340570,STEG3,6473704,4/28/2023,,MONO,,,OUI,,,1,,,,
SUNTECH SOLAR,702407602,STEG3,6484560,5/26/2023,,MONO,,,OUI,,,1,,,,
SOLECTRA,707548600,STEG3,6487315,6/2/2023,,MONO,,,OUI,,,1,,,,
SOLECTRA,707507901,STEG3,6421521,12/16/2022,,MONO,,,OUI,,,1,,,,
SOLECTRA,700521801,STEG3,6446136,2/14/2023,,MONO,,,OUI,,,,,,,
ste zaibi phtovoltaique,723184861,STEG3,6425292,12/27/2022,,MONO,,,OUI,,,1,,,,
AUG,710641960,STEG4,E6319428,4/29/2022,,TRI,,,OUI,,,1,,,,
AUG,725220780,STEG4,E6286221,2/8/2022,,TRI,,,OUI,,,1,,,,
Power Gold Energy,723847090,STEG4,6268948,12/29/2021,,TRI,,,OUI,,,,,,,
Power Gold Energy,709061962,STEG4,6500270,7/10/2023,,TRI,,,OUI,,,,,,,
SATEME,723502000,STEG4,6467673,4/10/2023,,TRI,,,OUI,,,,,,,
SOLECTRA,714785050,STEG4,6213536,8/30/2021,,MONO,,,OUI,,,1,,,,
SOLECTRA,712865952,STEG4,6505334,7/24/2023,,MONO,,,OUI,,,1,,,,
AFF ETEINT,713501152,STEG4,AFF ETEINT,,,TRI,MONTE A LA PACE DE SOLAR FM707548600,,OUI,,,1,,,,
AFF ETEINT,726761060,STEG4,AFF ETEINT,,,MONO,MONTE A LA PACE DE THINK POWER 708987310,,OUI,,,1,,,,
AFF ETEINT,723028400,STEG4,AFF ETEINT,,,MONO,MONTE A LA PACE DE SOLECTRA 700521801,,OUI,,,1,,,,
AFF ETEINT,716305400,STEG4,AFF ETEINT,,,MONO,,,OUI,,,1,,,,
SUN2E,716628300,STEG4,6437937,1/25/2023,,TRI,,,OUI,,,1,,,,
SUNTECH SOLAR,704307530,STEG4,6511899,,,MONO,,,OUI,,,1,,,,
TESLA ENERGY,704704901,STEG4,6498902,7/6/2023,,MONO,,,OUI,,,1,,,,
TESLA ENERGY,710022900,STEG4,6473951,4/28/2023,,MONO,,,OUI,,,1,,,,
THINKPOWER,714560700,STEG4,6457925,3/14/2023,,TRI,,,OUI,,,1,,,,
THINKPOWER,704408340,STEG4,6502234,7/13/2023,,MONO,,,OUI,,,1,,,,
THINKPOWER,704226620,STEG4,6502240,7/13/2023,,MONO,,,OUI,,,1,,,,
THINKPOWER,708745530,STEG4,6502230,7/13/2023,,MONO,,,OUI,,,1,,,,
Venergy,711885503,STEG5,E6412498,11/23/2022,,MONO,,,OUI,,,1,,,,
Venergy,707123870,STEG5,E6425532,12/28/2022,,MONO,,,OUI,,,1,,,,
Venergy,711982600,STEG5,E6459119,3/16/2023,,MONO,,,OUI,,,1,,,,
Venergy,719243302,STEG5,E6449171,2/21/2023,,MONO,,,OUI,,,1,,,,
Venergy,701044710,STEG5,E6459124,3/16/2023,,MONO,,,OUI,,,1,,,,
VOLT ENERGY,727334500,STEG5,E6472634,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,716605150,STEG5,E6466030,4/5/2023,,MONO,,,OUI,,,1,,,,
Venergy,727933810,STEG5,E6472620,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,722061900,STEG5,E6472627,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,722061910,STEG5,E6472630,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,723381801,STEG5,E6443508,2/8/2023,,MONO,,,OUI,,,1,,,,
Venergy,709823920,STEG5,E6456489,3/10/2023,,MONO,,,OUI,,,1,,,,
Venergy,718620050,STEG5,E6443517,2/8/2023,,MONO,,,OUI,,,1,,,,
Venergy,717702750,STEG5,E6456501,3/10/2023,,MONO,,,OUI,,,1,,,,
Venergy,701227800,STEG5,E6472640,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,703417821,STEG5,E6473612,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,703451920,STEG5,E6472622,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,707943460,STEG5,E6472617,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,710301680,STEG5,E6472616,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,709003500,STEG5,E6472624,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,717500910,STEG5,E6473249,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,706001310,STEG5,E6473595,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,705012521,STEG5,E6473600,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,721686900,STEG5,E6473605,4/28/2023,,MONO,,,OUI,,,1,,,,
Venergy,720604551,STEG5,E6494014,6/21/2023,,MONO,,,OUI,,,1,,,,
Venergy,711765151,STEG5,E6489556,6/21/2023,,MONO,,,OUI,,,1,,,,
Venergy,709003651,STEG5,E6489552,6/21/2023,,MONO,,,OUI,,,1,,,,
Venergy,725186270,STEG5,E6493517,6/21/2023,,MONO,,,OUI,,,1,,,,
Venergy,716340290,STEG5,E6494016,6/21/2023,,MONO,,,OUI,,,1,,,,
VOLT ENERGY,717321640,STEG5,E6420787,12/15/2022,,TRI,,,OUI,,,ANNULE,,,,
Venergy,718042460,STEG5,E6425537,12/18/2022,,TRI,,,OUI,,,1,,,,
Venergy,707823650,STEG5,E6459127,3/16/2023,,TRI,,,OUI,,,1,,,,
BND,700933600,STEG5,6473751,4/28/2023,,MONO,ctr 701235820 remplacé par 700933600 suite dem client du 24/10/23,,OUI,,,1,,,,
BND,725103981,STEG5,6445513,2/13/2023,,MONO,,,OUI,,,1,,,,
BND,727467510,STEG5,6473743,4/28/2023,,MONO,,,OUI,,,1,,,,
BND,701300100,STEG5,6488898,6/7/2023,,MONO,,,OUI,,,1,,,,
BND,725747000,STEG5,6445501,2/13/2023,,MONO,,,OUI,,,1,,,,
BND,725747010,STEG5,6445505,2/13/2023,,MONO,,,OUI,,,1,,,,
